ParticipantId,Angular Error 3,Angular Error 4,Angular Error 5,Angular Error 6,Angular Error 7,Angular Error 8,Angular Error 9,Angular Error 10,Angular Error 11,Angular Error 12,Angular Error 13,Angular Error 14,Angular Error 15,Angular Error 16,Angular Error 17,Angular Error 18,Angular Error 19,Angular Error 20,Angular Error 21,Angular Error 22,Efficiency 3,Efficiency 4,Efficiency 5,Efficiency 6,Efficiency 7,Efficiency 8,Efficiency 9,Efficiency 10,Efficiency 11,Efficiency 12,Efficiency 13,Efficiency 14,Efficiency 15,Efficiency 16,Efficiency 17,Efficiency 18,Efficiency 19,Efficiency 20,Efficiency 21,Efficiency 22
CL26RO,54.3999,13.549999999999999,113.8,23.899999999999945,96.15,45.29997999999999,6.650099999999932,0.5499999999988264,7.4999999999999645,49.25000000000003,49.65000000000001,34.65010000000003,26.149930000000012,94.55001,25.650000000000002,132.10001000000003,7.099989999999999,179.09999999999997,14.900000000000011,71.49999999999999,0.6086956521739131,0.6923076923076923,1,0.5789473684210527,0.7777777777777778,0.8461538461538461,0.39285714285714285,1.0,0.1111111111111111,0.6666666666666666,0.28125,0.6296296296296297,0.2962962962962963,0.7777777777777778,0.2222222222222222,0.3076923076923077,0.8571428571428571,0.38461538461538464,0.55,0.5
Ji18Fe,49.14989999999999,53.449999999999974,12.999999999999996,40.999919999999996,18.150000000000002,12.500000000000002,51.799999999999976,2.100000000000205,117.9501,20.750100000000003,95.35010000000001,0.7499599999998642,57.24999999999999,24.149961000000012,46.70001,23.699999999999992,4.399999999999998,37.49990000000002,18.90005400000001,32.60003000000002,0.3333333333333333,0.8461538461538461,0.3684210526315789,0.7333333333333333,0.68,0.42857142857142855,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,0.7777777777777778,0.391304347826087,0.2,1.0,0.6666666666666666,0.46153846153846156,0.875
BE10AH,2.650100000000064,1.4499999999999496,5.349899999999938,11.44991,6.650099999999932,15.449899999999992,17.74999999999998,43.90010000000001,9.04994000000001,8.299969999999977,0.900099999999243,43.70005000000002,56.150079999999996,0.4999999999991335,30.099899999999966,92.20010000000003,12.550000000000015,12.900000000000004,13.149999999999972,5.449900000000033,1.0,0.2,0.8,0.5,1.0,0.8181818181818182,1.0,0.7777777777777778,1,0.85,0.9090909090909091,1.0,1,1,1,1,0.7777777777777778,1.0,1.0,0.875
HE29FI,23.399961000000015,56.050000000000026,73.25,115.20010000000002,59.19999999999998,3.5000999999999567,32.4001,30.999999999999993,19.050021999999995,70.30003000000004,55.89989999999999,49.9,7.949999999999962,62.05000000000001,6.349999999999917,45.99998000000001,38.099999999999966,64.04999999999998,12.05000000000002,43.89997,0.42857142857142855,0.375,0.6153846153846154,0.8461538461538461,0.5263157894736842,0.3333333333333333,0.4827586206896552,0.7727272727272727,0.36363636363636365,0.3684210526315789,0.42105263157894735,0.09090909090909091,0.631578947368421,1,1,1.0,0.5925925925925926,1,1,0.875
LU16WA,5.350049999999948,30.549899999999994,16.449964000000005,1.5999499999998201,5.149959999999982,15.949999999999998,14.699999999999989,19.699999999999978,8.90009999999994,13.000000000000025,23.349869999999985,15.600000000000035,13.649899999999958,13.05009999999997,14.200100000000036,6.84990000000005,2.099999999999858,5.049900000000044,2.349999999999729,2.9500299999998094,1,1,0.5384615384615384,1.0,1,1.0,1,1,1.0,1,0.8,0.9230769230769231,1,0.8888888888888888,1.0,0.875,0.43478260869565216,0.6,0.7727272727272727,0.2
SI14GA,56.050000000000004,70.74996,30.99997000000001,62.90002,4.5499999999999465,26.70000000000001,44.649999999999984,35.29999999999999,141.7,44.900000000000006,6.39999999999989,63.199980000000025,90.04999999999998,26.049979999999998,76.55000000000003,33.75,13.349999999999978,68.70003,130.0,34.55000000000001,1,1.0,0.8,0.42857142857142855,0.7058823529411765,0.3125,0.4117647058823529,1.0,0.4444444444444444,0.391304347826087,1,1,0.1111111111111111,0.6363636363636364,0.6923076923076923,1,0.7777777777777778,1,1,0.9166666666666666
SH01GU,6.600000000000043,8.000009999999998,34.15004,22.349969999999995,113.1,41.550000000000004,5.800000000000054,113.40000000000002,111.34996,30.8499,52.100000000000016,73.94999999999999,33.35007,57.54999999999998,6.449999999999962,25.3,100.54986,57.00000000000003,23.949999999999978,40.59999999999997,0.5,0.391304347826087,0.7,0.24242424242424243,0.3333333333333333,0.6153846153846154,1,0.8095238095238095,0.043478260869565216,0.7142857142857143,0.8,0.7777777777777778,0.3793103448275862,0.75,0.5238095238095238,0.6923076923076923,0.9166666666666666,0.7058823529411765,0.6666666666666666,1.0
gi01ca,63.19999999999999,113.74997,73.2,98.04997999999999,60.50002000000003,16.250000000000018,55.049999999999976,89.29992999999999,101.44999999999999,27.250000000000018,30.25001000000001,130.14991,176.60000000000016,83.05,22.500002400000017,25.049899999999962,24.699999999999992,136.44999999999996,25.400000000000013,1.4499999999999496,0.8,1,0.5333333333333333,1.0,0.47058823529411764,0.8,0.875,0.8461538461538461,0.058823529411764705,0.8235294117647058,1,1.0,0.5625,1.0,1,0.5,0.5789473684210527,0.7777777777777778,0.4117647058823529,0.5294117647058824
HA05KO,74.80002000000003,22.49990000000001,3.9500099999999594,47.750099999999996,108.89995000000002,69.54990000000001,27.14993900000002,48.80020000000004,22.850199999999987,12.850000000000016,36.64999999999996,2.7498899999999273,44.899959999999986,0.8500000000002581,178.39991999999992,28.349999999999998,81.99992,73.44999999999999,27.34999,54.35001400000001,0.42857142857142855,0.2857142857142857,0.7777777777777778,0.5,1,0.6956521739130435,0.6111111111111112,1,0.45161290322580644,0.7777777777777778,0.375,0.35714285714285715,0.3333333333333333,0.05263157894736842,1,1,0.7777777777777778,0.7272727272727273,0.75,0.42105263157894735
HA25SH,65.34989999999996,13.049999999999997,20.549999999999976,46.4001,73.89999999999998,26.050000000000026,8.400110000000005,78.64999999999996,73.5,43.49999999999999,54.000100000000025,29.749993000000018,62.50000000000001,45.549800000000005,40.25009999999998,78.10000000000001,61.30000000000003,26.55000000000004,42.54990000000001,84.95019999999997,0.7391304347826086,1.0,0.47368421052631576,0.75,0.23529411764705882,0.20588235294117646,0.7333333333333333,0.37037037037037035,1.0,0.5714285714285714,0.4090909090909091,0.4444444444444444,0.3333333333333333,0.631578947368421,0.6666666666666666,1,0.09090909090909091,1,0.875,1.0
RE19KA,2.8999599999999517,46.749900000000004,24.950031000000013,0.19999999999981224,6.0999999999999845,45.54989999999999,19.800023000000003,2.500049999999807,53.34997,48.25,31.40001000000002,23.150000000000002,52.84999999999997,25.149899999999995,7.4999999999999645,0.7999999999998881,3.3500000000000396,22.900100000000034,45.44999999999998,9.749989999999965,0.6666666666666666,0.6666666666666666,0.7333333333333333,0.42857142857142855,0.8,1,0.6153846153846154,0.36,0.7777777777777778,0.30434782608695654,1.0,0.8461538461538461,1.0,0.043478260869565216,1.0,0.47368421052631576,0.4782608695652174,0.2857142857142857,1.0,0.38461538461538464
lexietest,59.19999999999998,3.549999999999984,2.5999799999999205,85.60000000000005,46.05001000000002,2.7999999999999416,66.50000000000001,36.65000000000001,43.40000000000003,43.55000000000004,13.249999999999995,171.55000000000004,46.7,2.8999999999999417,61.00003000000002,75.65,13.399999999999912,71.34989999999999,51.15,20.000000000000032,0.45454545454545453,1.0,1.0,1,0.6,0.9166666666666666,0.8095238095238095,0.4444444444444444,0.058823529411764705,0.2727272727272727,0.3333333333333333,0.5161290322580645,1,0.7777777777777778,0.3333333333333333,0.56,0.45,0.3055555555555556,0.7777777777777778,0.7777777777777778
LA27WA,17.39986000000001,30.199999999999992,29.300000000000008,53.89990000000002,26.849999999999994,52.6498,90.94990000000003,67.40002,35.55000000000003,35.14996000000002,29.80000000000003,16.44990000000001,67.85000000000001,16.149999999999952,2.6500000000000172,17.800000000000022,3.1500000000000044,24.54995,163.65,3.349999999999931,1.0,1.0,0.09090909090909091,1,0.6,1,0.6363636363636364,0.7333333333333333,0.8888888888888888,0.9090909090909091,0.7727272727272727,1,0.8,1,1,1.0,1,0.8461538461538461,0.7777777777777778,1
DA17HA,9.69999999999997,43.89999999999996,22.150100000000027,34.49996,78.00000000000001,76.95,99.15000000000002,61.19999999999996,3.1500000000000044,34.19999999999999,29.399999999999984,103.40002000000001,46.25000000000002,7.5999999999999215,43.0,0.3000000000005263,27.199939999999998,71.30000000000001,120.00000000000001,95.9001,0.3333333333333333,0.6666666666666666,0.6153846153846154,0.2,0.625,0.42857142857142855,0.6363636363636364,0.6,1,1.0,0.3333333333333333,0.36363636363636365,1.0,0.8095238095238095,0.6666666666666666,0.7777777777777778,0.5294117647058824,0.9411764705882353,0.30434782608695654,0.36363636363636365
XI03ME,78.75000000000003,92.99999999999999,84.55000000000001,56.600013999999994,80.65000000000002,18.550000000000015,36.60000000000001,39.950050000000005,11.850000000000055,162.00001000000003,31.04999999999999,37.44999000000003,137.95,4.549909999999975,87.49999999999997,29.44996,64.69990000000001,2.100000000000031,13.150000000000029,67.80001000000001,0.8461538461538461,1,0.7391304347826086,1,0.2,0.36363636363636365,0.3793103448275862,0.7857142857142857,0.21875,0.23529411764705882,0.56,0.9166666666666666,0.47368421052631576,0.6153846153846154,0.24242424242424243,0.29411764705882354,0.5833333333333334,0.5,0.7777777777777778,0.22857142857142856
OL08JO,2.2500000000000493,12.000009999999989,3.549999999999984,36.299940000000014,2.1999999999999025,172.04997000000003,31.899999999999938,5.399899999999976,9.749999999999957,155.35000000000002,34.74999999999999,10.64999999999996,21.550000000000015,15.399980000000003,8.449999999999976,1.6998999999998785,0.050030000001387256,7.499999999999915,1.6000000000000374,39.350099999999976,0.09090909090909091,0.7692307692307693,1.0,0.4666666666666667,1.0,1.0,0.47368421052631576,1,0.6153846153846154,1.0,0.9444444444444444,0.8,1.0,1,0.6923076923076923,1.0,0.5384615384615384,1.0,1,0.6363636363636364
TV10PA,0.24979999999855287,25.6002,39.74987999999999,5.100100000000003,34.149800000000035,34.65,46.69999999999999,44.699599999999954,68.75008000000001,6.200000000000003,40.15005000000001,39.49980000000001,120.95,46.79999999999999,36.800130000000024,15.899600000000005,12.249900000000016,15.000109999999964,79.34989999999999,83.99991000000001,0.2,1,0.7058823529411765,1.0,0.25925925925925924,0.3333333333333333,0.5925925925925926,0.36,0.36363636363636365,1,1.0,0.6363636363636364,0.7777777777777778,0.3333333333333333,0.6071428571428571,0.7333333333333333,0.5789473684210527,0.47368421052631576,1.0,0.36363636363636365
